epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14055.7,0.80316,0.60648,0.962,0.86292,0.78427,0.87283,0.68276,0.85809,0.63373,1.0277,0.00643101,0.00643101,0.00643101
43,14390.6,0.79498,0.60346,0.96011,0.84975,0.79258,0.86754,0.67806,0.85969,0.63734,1.02935,0.00628101,0.00628101,0.00628101
44,14726.4,0.79734,0.60322,0.95656,0.8367,0.78489,0.86902,0.67879,0.86883,0.64649,1.02879,0.00612981,0.00612981,0.00612981
45,15062.1,0.79422,0.59723,0.9523,0.84782,0.77675,0.87562,0.68595,0.86197,0.62217,1.02531,0.00597754,0.00597754,0.00597754
46,15397.8,0.78279,0.58807,0.95144,0.82887,0.79932,0.87215,0.68191,0.85837,0.62028,1.02427,0.00582435,0.00582435,0.00582435
47,15732.8,0.78692,0.58291,0.95494,0.84354,0.79286,0.87802,0.68369,0.85807,0.61263,1.02516,0.0056704,0.0056704,0.0056704
48,16068.2,0.78437,0.58045,0.95452,0.84324,0.81014,0.88197,0.69199,0.84427,0.61455,1.01571,0.00551584,0.00551584,0.00551584
49,16403.9,0.77074,0.56764,0.95016,0.82956,0.80568,0.87695,0.68934,0.8452,0.62385,1.02369,0.00536081,0.00536081,0.00536081
50,16739.5,0.77552,0.56763,0.94421,0.82431,0.81044,0.87606,0.68697,0.84465,0.60793,1.02281,0.00520548,0.00520548,0.00520548
51,17075.2,0.7642,0.55394,0.94812,0.81278,0.81146,0.88226,0.69281,0.84491,0.59202,1.01995,0.00505,0.00505,0.00505
