epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5665.12,1.15971,0.95256,0.8866,0.59534,0.45171,0.501,0.35462,1.09875,0.93635,0.87892,0.00828443,0.00828443,0.00828443
43,5797.08,1.1625,0.95495,0.88748,0.63371,0.439,0.49926,0.35442,1.10896,0.95043,0.87931,0.00820525,0.00820525,0.00820525
44,5928.91,1.14185,0.93869,0.88464,0.62539,0.44477,0.50208,0.35524,1.10277,0.93289,0.8781,0.00812468,0.00812468,0.00812468
45,6062.56,1.15093,0.94365,0.88467,0.66491,0.43378,0.50516,0.35886,1.09353,0.91673,0.8746,0.00804277,0.00804277,0.00804277
46,6199.51,1.14879,0.93978,0.88342,0.67312,0.42671,0.50495,0.3599,1.08687,0.91267,0.87456,0.00795954,0.00795954,0.00795954
47,6336.87,1.12921,0.91647,0.87994,0.62579,0.44703,0.50596,0.35936,1.08885,0.90331,0.87538,0.00787503,0.00787503,0.00787503
48,6473.85,1.13466,0.92166,0.88369,0.69129,0.43844,0.51157,0.36261,1.08287,0.90334,0.87547,0.00778929,0.00778929,0.00778929
49,6605.81,1.13796,0.9134,0.87941,0.66049,0.43938,0.51084,0.35983,1.09419,0.9102,0.87802,0.00770234,0.00770234,0.00770234
50,6731.6,1.13232,0.91916,0.87823,0.63565,0.45512,0.51569,0.36554,1.08992,0.90642,0.87723,0.00761423,0.00761423,0.00761423
51,6857.84,1.12779,0.90639,0.87979,0.66066,0.44427,0.51627,0.36738,1.08694,0.90578,0.87683,0.007525,0.007525,0.007525
52,6984.59,1.13045,0.91128,0.88034,0.69635,0.43748,0.52263,0.373,1.08156,0.90097,0.8763,0.00743468,0.00743468,0.00743468
53,7110.68,1.12062,0.89589,0.8762,0.68294,0.44591,0.52475,0.37348,1.08569,0.90672,0.87639,0.00734332,0.00734332,0.00734332
54,7236.98,1.12613,0.89798,0.87716,0.70285,0.4482,0.52492,0.37337,1.08282,0.90347,0.87633,0.00725094,0.00725094,0.00725094
55,7363.17,1.12643,0.90136,0.87782,0.68721,0.45012,0.52118,0.3697,1.085,0.89842,0.87664,0.00715761,0.00715761,0.00715761
56,7489.35,1.11038,0.88186,0.87733,0.70487,0.44619,0.52282,0.3725,1.08083,0.89158,0.87575,0.00706335,0.00706335,0.00706335
57,7615.66,1.11301,0.88245,0.8757,0.69785,0.44881,0.52284,0.37195,1.08097,0.89088,0.87518,0.0069682,0.0069682,0.0069682
58,7742.01,1.11387,0.88613,0.8759,0.67275,0.46567,0.52517,0.3735,1.07764,0.8886,0.87433,0.00687222,0.00687222,0.00687222
59,7868.39,1.10824,0.88282,0.87596,0.6894,0.45651,0.52419,0.37391,1.07566,0.89,0.87375,0.00677543,0.00677543,0.00677543
60,7994.87,1.09895,0.86623,0.87683,0.68921,0.45673,0.52691,0.37543,1.07371,0.89008,0.87332,0.00667789,0.00667789,0.00667789
61,8121.35,1.09987,0.86785,0.87586,0.66906,0.46512,0.52802,0.37578,1.07101,0.88617,0.87302,0.00657963,0.00657963,0.00657963
62,8247.86,1.09787,0.86254,0.87415,0.67816,0.46471,0.52866,0.37822,1.06673,0.88614,0.87197,0.00648071,0.00648071,0.00648071
63,8374.32,1.10008,0.8598,0.86989,0.68129,0.46686,0.52924,0.3786,1.06594,0.88741,0.87163,0.00638115,0.00638115,0.00638115
64,8500.05,1.09321,0.85167,0.87804,0.69864,0.46132,0.53142,0.38075,1.06301,0.88199,0.87138,0.00628101,0.00628101,0.00628101
