epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,12661.4,1.44422,2.05971,0.86763,0.36352,0.25158,0.24653,0.17487,1.30244,1.70501,0.84814,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,13029.8,1.43976,2.04785,0.865,0.34773,0.25781,0.24711,0.17565,1.29682,1.69842,0.84624,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13400.7,1.43986,2.02909,0.86336,0.38271,0.24804,0.25016,0.17728,1.29517,1.69283,0.84666,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,13771,1.43745,2.04836,0.86354,0.37302,0.25092,0.25281,0.17976,1.28657,1.68293,0.84548,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,14140,1.43561,2.02651,0.8631,0.36717,0.25792,0.25584,0.18141,1.28905,1.67751,0.84518,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,14509.8,1.4292,2.00701,0.8643,0.3566,0.26331,0.26003,0.1848,1.28486,1.66794,0.84383,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,14899.2,1.43117,2.0062,0.86209,0.35782,0.27496,0.26092,0.18524,1.28401,1.66289,0.84412,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,15269.6,1.43298,2.00214,0.86049,0.36326,0.2683,0.26336,0.1868,1.28146,1.65437,0.84371,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,15636.7,1.42026,1.98388,0.86243,0.37282,0.26521,0.26493,0.18871,1.28149,1.64801,0.84325,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,16006.9,1.42813,1.99307,0.85939,0.36966,0.27477,0.26644,0.18961,1.28038,1.64414,0.84287,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,16374.6,1.42943,1.99189,0.86079,0.37035,0.27849,0.26792,0.19084,1.27837,1.64033,0.84222,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,16745.7,1.41715,1.97427,0.86168,0.36163,0.28141,0.26869,0.19165,1.27634,1.63586,0.84207,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,17113.8,1.4137,1.96415,0.85951,0.38364,0.27546,0.26907,0.19205,1.27406,1.6325,0.84233,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,17482.9,1.4076,1.95323,0.86092,0.3719,0.27964,0.26905,0.19233,1.27332,1.62788,0.84253,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,17851.2,1.4118,1.94782,0.85778,0.38269,0.27767,0.26906,0.19241,1.27198,1.62454,0.84228,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,18222,1.40604,1.93866,0.86065,0.3703,0.28139,0.27031,0.19289,1.27278,1.62013,0.84218,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,18596.8,1.40066,1.93945,0.85422,0.37153,0.28134,0.27178,0.19392,1.27081,1.61647,0.84175,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,18965.3,1.40094,1.9356,0.85734,0.37785,0.28404,0.27217,0.19437,1.26933,1.61385,0.84133,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,19335.1,1.39371,1.91651,0.85671,0.3753,0.28653,0.27398,0.19554,1.26947,1.61207,0.84104,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,19702.1,1.39927,1.91674,0.8572,0.37781,0.28864,0.27492,0.19641,1.26664,1.60934,0.84088,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,20072.6,1.39891,1.91405,0.85765,0.36556,0.29025,0.27519,0.19628,1.26566,1.6066,0.84045,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,20440.3,1.40198,1.92199,0.85594,0.36522,0.2933,0.27649,0.19694,1.26512,1.60429,0.84031,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,20810.4,1.38875,1.91699,0.85759,0.36899,0.29273,0.27736,0.19734,1.26353,1.60154,0.8403,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,21179.3,1.39249,1.90626,0.85777,0.37017,0.2918,0.27754,0.19755,1.26316,1.59957,0.8404,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
