epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
133,50259.5,1.2722,1.60769,0.83431,0.41457,0.3095,0.31399,0.229,1.18574,1.50729,0.82899,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,50685.8,1.2637,1.60363,0.83498,0.41595,0.30872,0.31401,0.2294,1.18495,1.50642,0.82874,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,51130.8,1.27313,1.61288,0.83328,0.41949,0.30989,0.31438,0.22966,1.1843,1.50661,0.82844,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,51559.4,1.27098,1.60297,0.8331,0.41766,0.31112,0.31495,0.23012,1.18336,1.50593,0.8283,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,51935.3,1.27256,1.59311,0.83382,0.42092,0.31022,0.31492,0.23063,1.18298,1.50502,0.82815,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,52310.9,1.26515,1.58745,0.83308,0.41998,0.31248,0.31519,0.23065,1.18156,1.50379,0.82805,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,52793.7,1.2695,1.58496,0.83258,0.42337,0.31227,0.31557,0.23109,1.18094,1.50403,0.82788,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,53281.2,1.26877,1.60944,0.8331,0.42083,0.31357,0.31605,0.23126,1.17947,1.5033,0.82751,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,53767.8,1.26725,1.58775,0.83347,0.41829,0.31632,0.31615,0.23163,1.17909,1.50321,0.82724,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,54251.3,1.25655,1.57723,0.83033,0.42405,0.31565,0.31631,0.23188,1.17819,1.50451,0.8272,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,54735.4,1.25607,1.5744,0.83172,0.42147,0.31652,0.31652,0.2317,1.17784,1.50271,0.82716,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,55218.6,1.25564,1.56479,0.83211,0.42188,0.31597,0.31658,0.23201,1.17653,1.50272,0.82707,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,55707.9,1.25078,1.55506,0.83065,0.41903,0.31581,0.31653,0.23167,1.17614,1.50291,0.82697,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,56196.1,1.25413,1.55583,0.82939,0.42103,0.3149,0.31714,0.23214,1.17583,1.50223,0.8269,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,56681.8,1.2518,1.55607,0.83213,0.42005,0.31544,0.31715,0.23243,1.17479,1.50211,0.82677,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,57195.1,1.25605,1.56089,0.82902,0.41838,0.31563,0.31746,0.23267,1.17426,1.50207,0.82676,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,57715.9,1.24311,1.52807,0.82999,0.41933,0.31703,0.31768,0.23279,1.17402,1.50249,0.82666,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,58233.3,1.23834,1.52958,0.83094,0.42099,0.31577,0.31841,0.23353,1.17295,1.50202,0.82658,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,58724.2,1.24569,1.54198,0.82872,0.42179,0.31632,0.31835,0.23354,1.17185,1.50219,0.82635,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,59205.1,1.24728,1.53512,0.83101,0.4198,0.31745,0.31872,0.234,1.17156,1.50145,0.82622,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,59685.6,1.24746,1.53183,0.82955,0.42002,0.31716,0.31931,0.23448,1.17089,1.50113,0.82602,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,60166.6,1.24167,1.53111,0.82921,0.42089,0.3155,0.31976,0.23478,1.17093,1.50159,0.82594,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,60643.3,1.23109,1.51799,0.82776,0.42312,0.31533,0.31915,0.23462,1.17032,1.5012,0.82588,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,61119.7,1.23276,1.50989,0.82721,0.42728,0.31281,0.31915,0.23452,1.16973,1.50186,0.82574,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,61599.4,1.23643,1.51626,0.83009,0.42846,0.31302,0.31943,0.23482,1.16887,1.50125,0.8258,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,62054.2,1.22838,1.50395,0.82718,0.428,0.31299,0.31975,0.23527,1.16778,1.50164,0.82555,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,62431.7,1.23203,1.50096,0.82539,0.43113,0.31092,0.31998,0.23562,1.16738,1.50164,0.82548,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,62800.9,1.23929,1.5007,0.82753,0.4261,0.31192,0.31987,0.23559,1.16716,1.50159,0.82535,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,63173,1.22704,1.48433,0.82787,0.42672,0.31175,0.31989,0.23592,1.16633,1.50244,0.82526,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,63587,1.22693,1.49813,0.82658,0.42951,0.31017,0.31986,0.23572,1.16561,1.50176,0.82523,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,64070.9,1.22449,1.48412,0.82507,0.4298,0.30982,0.31984,0.23584,1.16474,1.50183,0.82504,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,64467.7,1.21916,1.47557,0.82646,0.42979,0.30994,0.31978,0.23612,1.16456,1.50187,0.82475,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,64874.9,1.22421,1.47997,0.82696,0.43129,0.30991,0.32037,0.23647,1.16347,1.50158,0.82461,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,65251.5,1.22409,1.46962,0.82572,0.4293,0.31104,0.32054,0.2368,1.16232,1.5013,0.82454,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,65727.7,1.21697,1.47095,0.82527,0.42711,0.31327,0.32095,0.23692,1.16234,1.50147,0.82442,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
168,66169.6,1.21905,1.46402,0.82557,0.4275,0.31251,0.32124,0.23716,1.16171,1.50202,0.82434,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,66635,1.21454,1.45206,0.82627,0.43184,0.31261,0.3209,0.23713,1.16108,1.50178,0.82428,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,67101.9,1.21875,1.45118,0.82547,0.43617,0.31148,0.32087,0.23744,1.16026,1.50282,0.82423,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,67497.9,1.21586,1.45225,0.82249,0.43254,0.314,0.32046,0.23694,1.15891,1.50313,0.82401,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,67873.8,1.2141,1.45398,0.82402,0.43064,0.3142,0.32045,0.23689,1.15884,1.50323,0.82395,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,68251.7,1.20655,1.43718,0.82578,0.43005,0.31446,0.32035,0.23688,1.15767,1.5039,0.82393,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,68645,1.20839,1.43562,0.82356,0.42693,0.31541,0.32031,0.23692,1.15657,1.50334,0.82381,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,69055.7,1.20707,1.42788,0.8236,0.42228,0.31756,0.3207,0.2374,1.15659,1.50444,0.82368,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,69515.1,1.20558,1.42751,0.82285,0.4196,0.31916,0.32072,0.2376,1.15703,1.50581,0.82353,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,70008.2,1.2055,1.42145,0.82239,0.42035,0.31744,0.32089,0.23777,1.15694,1.5061,0.82345,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,70503.9,1.19642,1.40697,0.82193,0.42091,0.31694,0.32104,0.23767,1.15684,1.50744,0.82343,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
179,70996,1.18741,1.39703,0.8209,0.42233,0.31726,0.32091,0.23728,1.15681,1.50754,0.82343,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
180,71484.4,1.19023,1.40182,0.82243,0.42627,0.31606,0.32104,0.23766,1.15686,1.50879,0.82352,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395
181,71978.1,1.19341,1.39356,0.82168,0.42923,0.31356,0.32118,0.23743,1.15689,1.5092,0.82352,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
182,72461.5,1.18878,1.39388,0.82146,0.42725,0.31413,0.32107,0.23737,1.15641,1.50898,0.8235,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405
183,72938.8,1.18421,1.37957,0.82115,0.42681,0.31414,0.32154,0.23758,1.15671,1.50963,0.8235,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
184,73313.1,1.18675,1.38269,0.81959,0.4282,0.31301,0.32131,0.23738,1.15693,1.50953,0.82327,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415
185,73684.7,1.18529,1.38006,0.8191,0.42766,0.31218,0.32139,0.23735,1.15669,1.51042,0.82309,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
186,74043.9,1.07824,1.23411,0.82437,0.4255,0.31231,0.32146,0.23761,1.15668,1.51144,0.82313,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
187,74385.1,1.0741,1.21719,0.82321,0.42317,0.31219,0.32123,0.23734,1.15661,1.51198,0.82298,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
188,74727,1.0705,1.21173,0.82323,0.42602,0.31179,0.32108,0.23733,1.15673,1.51273,0.82305,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435
189,75071.9,1.06711,1.20251,0.82288,0.42617,0.31114,0.32105,0.23724,1.15695,1.51444,0.82288,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
190,75413.9,1.05978,1.18569,0.82351,0.42569,0.3127,0.32085,0.23713,1.15664,1.51457,0.82282,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445
191,75760.6,1.06306,1.18498,0.82102,0.42328,0.31325,0.32097,0.23712,1.15609,1.51445,0.82262,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
192,76102.4,1.05443,1.17763,0.82046,0.42089,0.314,0.32065,0.23738,1.15616,1.51614,0.82242,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455
193,76444.1,1.05801,1.1754,0.82138,0.42146,0.31346,0.32075,0.23739,1.1561,1.51779,0.82226,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
194,76788.1,1.05363,1.16885,0.82143,0.41927,0.31413,0.32064,0.23736,1.15625,1.51952,0.82208,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465
195,77129.9,1.04586,1.15982,0.81998,0.42138,0.31362,0.3204,0.2372,1.15647,1.52152,0.8221,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
196,77474.5,1.05208,1.15248,0.81901,0.42064,0.31487,0.32079,0.23741,1.15605,1.52218,0.82206,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
197,77818.3,1.04464,1.14706,0.8183,0.42169,0.31403,0.3208,0.23732,1.15548,1.5234,0.82194,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
198,78160.8,1.04627,1.14402,0.81796,0.42353,0.31365,0.32074,0.23739,1.15581,1.52526,0.82195,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485
199,78503,1.04224,1.1365,0.81821,0.42239,0.31311,0.32114,0.23774,1.15563,1.52612,0.82198,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
200,78846.6,1.03755,1.13208,0.81803,0.42405,0.31144,0.32138,0.23788,1.15612,1.52782,0.82203,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495
