epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2724.16,1.29777,1.18851,0.91666,0.54181,0.34857,0.38818,0.26741,1.2434,1.16743,0.90747,0.00828443,0.00828443,0.00828443
43,2803.36,1.29074,1.18404,0.91766,0.5131,0.35348,0.3877,0.2682,1.23343,1.15818,0.90651,0.00820525,0.00820525,0.00820525
44,2882.52,1.28754,1.17758,0.91357,0.5478,0.34617,0.38916,0.26711,1.23189,1.16834,0.90544,0.00812468,0.00812468,0.00812468
45,2961.88,1.28609,1.17552,0.91296,0.5908,0.34256,0.39334,0.27201,1.2312,1.15751,0.90521,0.00804277,0.00804277,0.00804277
46,3041.58,1.26685,1.16516,0.9158,0.58141,0.34219,0.39755,0.27521,1.2316,1.14285,0.90429,0.00795954,0.00795954,0.00795954
47,3121.23,1.27865,1.17444,0.91496,0.55205,0.35373,0.40257,0.27804,1.22971,1.13801,0.90391,0.00787503,0.00787503,0.00787503
48,3200.67,1.26711,1.15448,0.91346,0.58024,0.33652,0.39923,0.27464,1.22682,1.14252,0.90273,0.00778929,0.00778929,0.00778929
49,3279.98,1.28045,1.18072,0.91389,0.53649,0.35055,0.39937,0.27686,1.21774,1.13641,0.90148,0.00770234,0.00770234,0.00770234
50,3359.47,1.26551,1.13986,0.90961,0.57943,0.33574,0.39607,0.27479,1.21328,1.14195,0.90213,0.00761423,0.00761423,0.00761423
51,3438.96,1.26725,1.14514,0.90926,0.57448,0.34447,0.39674,0.27483,1.2165,1.134,0.90321,0.007525,0.007525,0.007525
52,3518.42,1.24519,1.12697,0.90597,0.67672,0.3223,0.39867,0.27884,1.20951,1.12689,0.90211,0.00743468,0.00743468,0.00743468
53,3597.95,1.25597,1.13071,0.90815,0.58272,0.34198,0.39999,0.28061,1.20327,1.11867,0.90051,0.00734332,0.00734332,0.00734332
54,3677.58,1.25441,1.12637,0.90663,0.5875,0.3452,0.40178,0.27961,1.19838,1.1178,0.90018,0.00725094,0.00725094,0.00725094
55,3757.38,1.23858,1.1018,0.90355,0.5654,0.36304,0.4068,0.28386,1.198,1.10914,0.89906,0.00715761,0.00715761,0.00715761
56,3836.45,1.24589,1.11824,0.90733,0.55929,0.36144,0.40896,0.28483,1.19699,1.1046,0.89836,0.00706335,0.00706335,0.00706335
57,3915.6,1.25158,1.11006,0.90288,0.57069,0.36631,0.40838,0.28385,1.1978,1.10651,0.89835,0.0069682,0.0069682,0.0069682
58,3995.01,1.23864,1.10976,0.90023,0.59194,0.36333,0.4078,0.28314,1.19627,1.11033,0.89788,0.00687222,0.00687222,0.00687222
59,4074.22,1.23608,1.10193,0.90212,0.58122,0.35981,0.40963,0.2842,1.1949,1.11063,0.8972,0.00677543,0.00677543,0.00677543
60,4153.89,1.24274,1.10069,0.90253,0.56779,0.36879,0.4096,0.28438,1.19384,1.11243,0.89661,0.00667789,0.00667789,0.00667789
61,4234.27,1.2301,1.08759,0.89911,0.57371,0.36215,0.4119,0.28613,1.19483,1.1121,0.89709,0.00657963,0.00657963,0.00657963
62,4313.46,1.23887,1.09227,0.89897,0.55479,0.37652,0.41449,0.28785,1.19207,1.11017,0.89667,0.00648071,0.00648071,0.00648071
63,4392.62,1.23517,1.08888,0.90259,0.54674,0.38316,0.41442,0.28815,1.19225,1.10957,0.89667,0.00638115,0.00638115,0.00638115
64,4471.8,1.22552,1.0765,0.90034,0.55685,0.38046,0.41536,0.29005,1.19062,1.10525,0.89605,0.00628101,0.00628101,0.00628101
65,4551.16,1.2275,1.08294,0.8986,0.55875,0.37633,0.41644,0.29083,1.18816,1.10191,0.8955,0.00618034,0.00618034,0.00618034
66,4630.19,1.22534,1.07266,0.89783,0.57513,0.36986,0.41792,0.29219,1.18544,1.09743,0.89522,0.00607916,0.00607916,0.00607916
67,4709.46,1.22202,1.0788,0.89928,0.55875,0.37648,0.41851,0.29336,1.18345,1.09329,0.89446,0.00597754,0.00597754,0.00597754
68,4789.02,1.21366,1.05794,0.90084,0.55769,0.38028,0.41941,0.29419,1.18226,1.08874,0.89441,0.00587551,0.00587551,0.00587551
69,4868.17,1.20873,1.05402,0.89724,0.55123,0.38154,0.42123,0.29468,1.17956,1.08427,0.89412,0.00577311,0.00577311,0.00577311
