epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4230.03,1.26178,1.34484,0.83152,0.5407,0.38869,0.42775,0.30363,1.13805,1.07653,0.83335,0.00828443,0.00828443,0.00828443
43,4332.61,1.28125,1.34516,0.82862,0.56442,0.39477,0.43287,0.30919,1.13935,1.06931,0.83292,0.00820525,0.00820525,0.00820525
44,4435.15,1.2663,1.32541,0.82761,0.55606,0.39701,0.43543,0.31092,1.13214,1.05026,0.83191,0.00812468,0.00812468,0.00812468
45,4537.9,1.26328,1.32414,0.8313,0.58875,0.38459,0.43802,0.31412,1.13025,1.04494,0.83265,0.00804277,0.00804277,0.00804277
46,4640.55,1.26788,1.3088,0.8329,0.59763,0.3786,0.43754,0.31095,1.14588,1.05678,0.83738,0.00795954,0.00795954,0.00795954
47,4743.25,1.25255,1.31179,0.82848,0.58221,0.39926,0.44434,0.3192,1.12019,1.04015,0.83019,0.00787503,0.00787503,0.00787503
48,4846.21,1.24851,1.28161,0.83073,0.58026,0.39904,0.44274,0.31702,1.13773,1.04161,0.83346,0.00778929,0.00778929,0.00778929
49,4948.75,1.25665,1.30432,0.82655,0.57155,0.39934,0.44472,0.31678,1.14103,1.03731,0.83337,0.00770234,0.00770234,0.00770234
50,5051.28,1.25573,1.30117,0.82654,0.57008,0.39198,0.44605,0.31773,1.13021,1.03414,0.83298,0.00761423,0.00761423,0.00761423
51,5153.83,1.24249,1.27796,0.82737,0.57948,0.40658,0.45151,0.32122,1.13317,1.02529,0.83389,0.007525,0.007525,0.007525
52,5256.55,1.24242,1.27342,0.82753,0.57581,0.41076,0.45349,0.32289,1.13409,1.01725,0.83376,0.00743468,0.00743468,0.00743468
53,5359.12,1.23216,1.26264,0.8298,0.58505,0.4223,0.45671,0.32559,1.11566,1.01416,0.8305,0.00734332,0.00734332,0.00734332
54,5461.82,1.23954,1.2639,0.82582,0.59739,0.41156,0.4591,0.32984,1.10494,1.00927,0.82787,0.00725094,0.00725094,0.00725094
55,5564.7,1.23933,1.26059,0.82624,0.60404,0.40474,0.46068,0.33034,1.11165,1.00129,0.8302,0.00715761,0.00715761,0.00715761
56,5667.45,1.23824,1.2672,0.82145,0.63165,0.39878,0.46277,0.33296,1.09982,0.99838,0.82827,0.00706335,0.00706335,0.00706335
57,5769.86,1.24136,1.25358,0.82461,0.60121,0.40491,0.46425,0.33223,1.09399,0.99415,0.82823,0.0069682,0.0069682,0.0069682
58,5872.48,1.22525,1.23403,0.82581,0.60051,0.40677,0.46013,0.33141,1.08288,0.99114,0.82592,0.00687222,0.00687222,0.00687222
59,5975.07,1.21957,1.22194,0.82133,0.60663,0.40088,0.46315,0.33478,1.07162,0.98845,0.82369,0.00677543,0.00677543,0.00677543
60,6077.59,1.22484,1.2224,0.82376,0.62343,0.40319,0.46583,0.33458,1.08291,0.98778,0.82662,0.00667789,0.00667789,0.00667789
61,6180.07,1.22588,1.22594,0.82328,0.60273,0.40927,0.46545,0.33573,1.08538,0.9808,0.82664,0.00657963,0.00657963,0.00657963
62,6282.94,1.19979,1.20407,0.82323,0.6341,0.40281,0.47072,0.33971,1.06881,0.97543,0.82403,0.00648071,0.00648071,0.00648071
63,6385.73,1.213,1.20977,0.82499,0.62552,0.41254,0.47335,0.34267,1.06145,0.96983,0.82296,0.00638115,0.00638115,0.00638115
64,6488.33,1.20593,1.19967,0.82069,0.62932,0.41568,0.47462,0.34394,1.06548,0.96747,0.82305,0.00628101,0.00628101,0.00628101
65,6590.91,1.19916,1.19859,0.81949,0.6628,0.4058,0.47865,0.34897,1.05933,0.96406,0.8218,0.00618034,0.00618034,0.00618034
66,6693.75,1.20133,1.1821,0.81889,0.65412,0.41006,0.47776,0.3482,1.05403,0.96473,0.82122,0.00607916,0.00607916,0.00607916
67,6796.37,1.19593,1.18274,0.81944,0.63584,0.41471,0.477,0.34844,1.04954,0.96401,0.82071,0.00597754,0.00597754,0.00597754
68,6898.81,1.20935,1.19833,0.81822,0.65608,0.40863,0.47908,0.3496,1.04923,0.96119,0.82064,0.00587551,0.00587551,0.00587551
69,7001.75,1.20533,1.17953,0.81773,0.62961,0.4227,0.47906,0.34945,1.04987,0.95707,0.8207,0.00577311,0.00577311,0.00577311
70,7104.23,1.19455,1.1834,0.81718,0.6498,0.41312,0.48086,0.35077,1.04553,0.95315,0.82009,0.0056704,0.0056704,0.0056704
71,7206.92,1.19008,1.16252,0.81989,0.66352,0.40776,0.48174,0.3519,1.03995,0.9496,0.81923,0.00556742,0.00556742,0.00556742
72,7309.87,1.19075,1.16559,0.82095,0.66098,0.41027,0.47954,0.35108,1.03947,0.94745,0.81891,0.00546421,0.00546421,0.00546421
73,7412.32,1.19016,1.14861,0.8173,0.66886,0.40703,0.47911,0.35042,1.0384,0.94796,0.81877,0.00536081,0.00536081,0.00536081
74,7514.76,1.16276,1.12579,0.81372,0.68852,0.40392,0.47991,0.35205,1.03582,0.94677,0.81854,0.00525728,0.00525728,0.00525728
75,7617.37,1.16465,1.12619,0.81562,0.68881,0.3977,0.4796,0.35312,1.03399,0.94721,0.81838,0.00515366,0.00515366,0.00515366
76,7720.08,1.17482,1.12829,0.81557,0.68854,0.39993,0.47971,0.35253,1.03082,0.9451,0.81809,0.00505,0.00505,0.00505
77,7822.84,1.17048,1.12469,0.81369,0.68186,0.4042,0.48065,0.35319,1.02898,0.94407,0.81762,0.00494634,0.00494634,0.00494634
78,7925.6,1.1707,1.11842,0.81776,0.67701,0.40646,0.48126,0.354,1.02671,0.94087,0.81731,0.00484272,0.00484272,0.00484272
79,8028.5,1.15399,1.10669,0.81308,0.66192,0.41194,0.48556,0.35726,1.02412,0.93721,0.81699,0.00473919,0.00473919,0.00473919
80,8131.1,1.16643,1.12604,0.81446,0.66481,0.41077,0.48601,0.35807,1.02323,0.93512,0.81652,0.00463579,0.00463579,0.00463579
81,8233.61,1.15357,1.11503,0.812,0.65774,0.41576,0.48683,0.35836,1.02192,0.93363,0.81633,0.00453258,0.00453258,0.00453258
82,8336.13,1.1573,1.08824,0.81259,0.63496,0.42099,0.48552,0.3575,1.02042,0.93447,0.81584,0.0044296,0.0044296,0.0044296
83,8438.76,1.15312,1.09507,0.81094,0.64748,0.41888,0.48471,0.35762,1.01748,0.93348,0.81531,0.00432689,0.00432689,0.00432689
84,8541.41,1.15857,1.09392,0.81222,0.63827,0.42204,0.48471,0.35812,1.01459,0.93304,0.81494,0.00422449,0.00422449,0.00422449
85,8644.2,1.13684,1.06834,0.81233,0.66541,0.41456,0.48421,0.35804,1.01143,0.93209,0.81454,0.00412246,0.00412246,0.00412246
86,8746.97,1.14849,1.08079,0.81278,0.66346,0.41494,0.48406,0.35874,1.00857,0.92956,0.81411,0.00402084,0.00402084,0.00402084
87,8849.88,1.13795,1.07539,0.80602,0.67213,0.41036,0.48388,0.35887,1.00654,0.92816,0.81368,0.00391966,0.00391966,0.00391966
88,8952.43,1.1341,1.06668,0.80719,0.65321,0.42084,0.48521,0.35931,1.00569,0.92862,0.81324,0.00381899,0.00381899,0.00381899
89,9054.98,1.13538,1.06444,0.80981,0.65886,0.41749,0.48445,0.35856,1.00286,0.92845,0.81278,0.00371885,0.00371885,0.00371885
90,9157.7,1.13376,1.05579,0.80651,0.65857,0.41514,0.48457,0.35916,1.0007,0.92744,0.81239,0.00361929,0.00361929,0.00361929
91,9260.2,1.12634,1.0489,0.80862,0.64133,0.42344,0.48458,0.35958,0.99965,0.92653,0.81227,0.00352037,0.00352037,0.00352037
92,9362.8,1.11401,1.02262,0.80609,0.64519,0.42261,0.48312,0.35914,0.99768,0.9253,0.81205,0.00342211,0.00342211,0.00342211
93,9465.37,1.11034,1.02153,0.80985,0.63424,0.42656,0.48333,0.35928,0.99624,0.92561,0.81176,0.00332457,0.00332457,0.00332457
94,9568.03,1.1304,1.02296,0.80618,0.63364,0.42579,0.48343,0.35923,0.99729,0.92686,0.81168,0.00322778,0.00322778,0.00322778
95,9670.61,1.13233,1.03519,0.808,0.6432,0.4213,0.48343,0.35874,0.99597,0.92763,0.81139,0.0031318,0.0031318,0.0031318
96,9773.19,1.10229,1.01078,0.80441,0.64173,0.42273,0.48333,0.35928,0.99527,0.92711,0.81131,0.00303665,0.00303665,0.00303665
97,9875.77,1.1208,1.03315,0.80286,0.64111,0.42415,0.48322,0.35921,0.99455,0.92783,0.81123,0.00294239,0.00294239,0.00294239
98,9978.32,1.10723,1.00686,0.80714,0.62943,0.42721,0.48298,0.35846,0.99426,0.92834,0.81114,0.00284906,0.00284906,0.00284906
99,10081.1,1.09029,0.98405,0.80191,0.63218,0.4266,0.48302,0.35844,0.99325,0.92769,0.81094,0.00275668,0.00275668,0.00275668
100,10183.8,1.0983,0.99007,0.80524,0.63199,0.4275,0.4828,0.35799,0.99267,0.92777,0.81086,0.00266532,0.00266532,0.00266532
101,10286.4,1.09377,0.98183,0.80531,0.63468,0.42646,0.4825,0.35765,0.99219,0.92734,0.81087,0.002575,0.002575,0.002575
102,44062.6,1.09331,0.97974,0.80369,0.64041,0.42448,0.48287,0.35801,0.99088,0.92713,0.81071,0.00248577,0.00248577,0.00248577
103,44169.9,1.09911,0.98848,0.79708,0.64269,0.42345,0.48169,0.35644,0.9905,0.92682,0.81066,0.00239766,0.00239766,0.00239766
104,44272,1.09277,0.97385,0.80078,0.64518,0.4215,0.482,0.3569,0.98959,0.92788,0.81056,0.00231071,0.00231071,0.00231071
105,44369,1.09304,0.98375,0.80015,0.64633,0.42121,0.4818,0.3569,0.98916,0.92694,0.81042,0.00222497,0.00222497,0.00222497
106,44468.8,1.09596,0.97464,0.80104,0.64758,0.42398,0.48235,0.35708,0.98875,0.92716,0.81042,0.00214046,0.00214046,0.00214046
107,44567.7,1.09241,0.95714,0.80404,0.64421,0.42514,0.48281,0.35729,0.98897,0.92835,0.81028,0.00205723,0.00205723,0.00205723
108,44666.6,1.08952,0.96597,0.80269,0.64414,0.42395,0.48264,0.35729,0.98753,0.92784,0.81012,0.00197532,0.00197532,0.00197532
109,44766.3,1.07355,0.94117,0.80097,0.64557,0.42383,0.48262,0.35747,0.9865,0.92719,0.8101,0.00189475,0.00189475,0.00189475
110,44865.4,1.06289,0.93535,0.80086,0.64878,0.42157,0.48257,0.35731,0.98537,0.92679,0.81014,0.00181557,0.00181557,0.00181557
111,44964.6,1.06853,0.92822,0.79876,0.64558,0.42195,0.48194,0.35655,0.98499,0.9265,0.81013,0.0017378,0.0017378,0.0017378
112,45063.3,1.07398,0.93214,0.79672,0.6434,0.42337,0.482,0.35683,0.98429,0.92597,0.81015,0.00166149,0.00166149,0.00166149
113,45162.3,1.06198,0.92564,0.8001,0.64258,0.42347,0.48172,0.35697,0.98356,0.9251,0.81009,0.00158667,0.00158667,0.00158667
114,45261.2,1.06657,0.92118,0.79862,0.64078,0.42328,0.48181,0.35676,0.98337,0.92602,0.81005,0.00151336,0.00151336,0.00151336
115,45360,1.06433,0.9238,0.79805,0.63978,0.42268,0.48152,0.3566,0.98325,0.92667,0.80999,0.00144161,0.00144161,0.00144161
116,45458.9,1.04964,0.91224,0.79765,0.63948,0.4223,0.48129,0.35658,0.983,0.9285,0.80992,0.00137143,0.00137143,0.00137143
117,45558.1,1.05182,0.91371,0.79679,0.63617,0.4214,0.48127,0.35606,0.98157,0.92773,0.8098,0.00130287,0.00130287,0.00130287
118,45657.1,1.0523,0.90023,0.79467,0.63902,0.42031,0.48162,0.35652,0.98193,0.92816,0.80977,0.00123596,0.00123596,0.00123596
119,45765.3,1.04124,0.895,0.79528,0.63785,0.42037,0.48099,0.35639,0.98176,0.92843,0.80979,0.00117072,0.00117072,0.00117072
120,45869.4,1.04168,0.89088,0.79605,0.63377,0.42218,0.48085,0.3563,0.98169,0.92867,0.80982,0.00110718,0.00110718,0.00110718
121,45974.8,1.04571,0.89305,0.79639,0.63123,0.42293,0.4811,0.35589,0.98097,0.9294,0.8097,0.00104537,0.00104537,0.00104537
