epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0336,1.36672,4.17909,1.02578,0.49384,0.22932,0.21007,0.14556,1.21865,1.89673,0.97276,0.00332865,0.00332865,0.0700421
2,172.813,1.27305,1.88671,0.97625,0.46767,0.27391,0.27121,0.18529,1.26361,1.80272,0.98982,0.00666036,0.00666036,0.0400405
3,254.453,1.33605,1.75841,0.99657,0.45372,0.28504,0.25951,0.16836,1.34626,1.82215,1.01772,0.00998556,0.00998556,0.0100324
4,335.203,1.35671,1.70787,1.00292,0.58569,0.29549,0.3262,0.22104,1.24992,1.55953,0.98026,0.00997803,0.00997803,0.00997803
5,415.999,1.29743,1.51395,0.99626,0.56808,0.30155,0.3216,0.2183,1.24156,1.59958,0.98205,0.00996097,0.00996097,0.00996097
6,496.787,1.25193,1.3907,0.97744,0.54719,0.35002,0.37058,0.25022,1.26844,1.42738,0.9802,0.00993906,0.00993906,0.00993906
7,577.544,1.21282,1.31684,0.96584,0.52086,0.37285,0.4056,0.27454,1.18558,1.30636,0.95509,0.00991232,0.00991232,0.00991232
8,658.307,1.1792,1.22278,0.95312,0.5172,0.4042,0.4271,0.29662,1.18152,1.24332,0.95944,0.00988079,0.00988079,0.00988079
9,738.812,1.15846,1.18574,0.94881,0.55488,0.41406,0.45625,0.31458,1.1954,1.2505,0.97306,0.00984449,0.00984449,0.00984449
10,819.41,1.14452,1.14539,0.94157,0.55877,0.41543,0.45792,0.32114,1.11306,1.22428,0.94602,0.00980345,0.00980345,0.00980345
11,897.857,1.12346,1.09288,0.94038,0.60544,0.43691,0.48768,0.33536,1.15841,1.19162,0.95705,0.00975773,0.00975773,0.00975773
12,975.625,1.10707,1.06184,0.936,0.61923,0.45366,0.50664,0.35127,1.16137,1.08254,0.95699,0.00970736,0.00970736,0.00970736
13,1053.1,1.09902,1.04145,0.93014,0.65502,0.44002,0.4956,0.34585,1.13611,1.08498,0.9486,0.00965239,0.00965239,0.00965239
14,1130.66,1.08282,1.02264,0.92809,0.55409,0.44051,0.49295,0.34806,1.12328,1.11009,0.93946,0.00959289,0.00959289,0.00959289
15,1208.34,1.0725,0.9991,0.92501,0.59025,0.48742,0.50776,0.36017,1.08849,1.03341,0.93326,0.00952889,0.00952889,0.00952889
16,1285.81,1.06544,0.98061,0.9209,0.64389,0.45643,0.52403,0.37616,1.06266,1.06605,0.93154,0.00946048,0.00946048,0.00946048
17,1363.18,1.05459,0.9688,0.91966,0.56698,0.50263,0.53619,0.37828,1.13036,1.07077,0.94438,0.00938772,0.00938772,0.00938772
18,1441.17,1.06913,0.96678,0.92029,0.65873,0.48028,0.54374,0.38752,1.08569,1.05925,0.93181,0.00931067,0.00931067,0.00931067
19,1518.77,1.04775,0.93754,0.91439,0.57675,0.48371,0.54307,0.37915,1.10961,1.00742,0.93396,0.00922942,0.00922942,0.00922942
20,1596.31,1.0435,0.91366,0.91523,0.7462,0.4504,0.55146,0.39642,1.06765,1.02787,0.92387,0.00914405,0.00914405,0.00914405
21,1674.57,1.02949,0.89879,0.90984,0.67031,0.4914,0.56211,0.40722,1.02387,1.00155,0.91842,0.00905463,0.00905463,0.00905463
22,1752.5,1.02904,0.88964,0.91176,0.62827,0.5441,0.58772,0.42298,1.02838,0.93798,0.92005,0.00896127,0.00896127,0.00896127
23,1830.32,1.01124,0.87239,0.90629,0.64243,0.49522,0.55573,0.39921,1.05701,0.95832,0.92216,0.00886404,0.00886404,0.00886404
24,1908.84,1.00874,0.86999,0.90713,0.65458,0.52623,0.58029,0.4195,1.05243,0.91168,0.92497,0.00876305,0.00876305,0.00876305
25,1986.84,1.00752,0.85711,0.89966,0.60225,0.5311,0.58397,0.41864,1.02484,0.91437,0.91626,0.00865839,0.00865839,0.00865839
26,2064.67,0.99755,0.85005,0.90322,0.6745,0.51597,0.59968,0.42772,1.035,0.90567,0.91508,0.00855018,0.00855018,0.00855018
27,2142.78,0.99577,0.83867,0.90117,0.67364,0.53078,0.59785,0.4335,1.01324,0.91148,0.91305,0.00843851,0.00843851,0.00843851
28,2220.55,0.98114,0.82549,0.89871,0.60706,0.58036,0.61668,0.44312,1.01857,0.95219,0.91399,0.00832349,0.00832349,0.00832349
29,2298.79,0.97623,0.82527,0.8961,0.69902,0.52142,0.61777,0.45023,0.98196,0.883,0.90565,0.00820525,0.00820525,0.00820525
30,2376.67,0.96254,0.7972,0.89633,0.74327,0.51796,0.61895,0.45093,0.97756,0.87485,0.90438,0.00808389,0.00808389,0.00808389
31,2454.44,0.97083,0.81119,0.89538,0.63434,0.56132,0.61841,0.45283,0.97514,0.8737,0.90476,0.00795954,0.00795954,0.00795954
32,2532.61,0.96327,0.7923,0.89492,0.65335,0.57387,0.63617,0.47211,0.92949,0.85088,0.89497,0.00783231,0.00783231,0.00783231
33,2610.44,0.95052,0.79048,0.88594,0.69729,0.55546,0.63572,0.46251,0.96433,0.87246,0.89968,0.00770234,0.00770234,0.00770234
34,2688.39,0.94226,0.7703,0.88657,0.68837,0.56754,0.63336,0.46594,0.96665,0.83623,0.90302,0.00756976,0.00756976,0.00756976
35,2766.44,0.93947,0.77106,0.88742,0.70106,0.53799,0.63275,0.46112,0.96191,0.85552,0.89599,0.00743468,0.00743468,0.00743468
36,2844.27,0.93452,0.76943,0.88741,0.67289,0.56395,0.63439,0.47314,0.92257,0.84488,0.89331,0.00729725,0.00729725,0.00729725
37,2922.05,0.93318,0.75583,0.88578,0.64552,0.59999,0.64928,0.48379,0.91057,0.80959,0.8902,0.00715761,0.00715761,0.00715761
38,2999.81,0.9267,0.75569,0.88285,0.70756,0.5716,0.65199,0.48198,0.92063,0.81798,0.88874,0.00701588,0.00701588,0.00701588
39,3077.97,0.92306,0.74884,0.88318,0.75272,0.56792,0.66545,0.49579,0.91981,0.79826,0.89142,0.00687222,0.00687222,0.00687222
40,3155.95,0.91807,0.73854,0.87846,0.70821,0.58542,0.6592,0.48725,0.92335,0.81647,0.89205,0.00672675,0.00672675,0.00672675
41,3233.53,0.91606,0.74037,0.8784,0.75177,0.56954,0.6506,0.48273,0.91757,0.79968,0.8933,0.00657963,0.00657963,0.00657963
42,3311.33,0.91413,0.74036,0.8754,0.73891,0.56578,0.65268,0.48366,0.91333,0.83746,0.88911,0.00643101,0.00643101,0.00643101
43,3388.9,0.90433,0.71774,0.87586,0.68145,0.59586,0.65313,0.48912,0.91616,0.81676,0.89149,0.00628101,0.00628101,0.00628101
44,3466.87,0.90723,0.72932,0.87536,0.69821,0.58255,0.65861,0.4928,0.90282,0.81622,0.88523,0.00612981,0.00612981,0.00612981
45,3544.93,0.8932,0.70386,0.87234,0.72675,0.58041,0.66571,0.50585,0.87974,0.80064,0.88099,0.00597754,0.00597754,0.00597754
46,3623.02,0.88982,0.70168,0.87017,0.72095,0.56877,0.66724,0.50256,0.88978,0.7895,0.88501,0.00582435,0.00582435,0.00582435
47,3700.77,0.88849,0.7019,0.86817,0.74402,0.57179,0.66966,0.50147,0.89682,0.77896,0.88425,0.0056704,0.0056704,0.0056704
48,3778.62,0.88498,0.69159,0.87035,0.75128,0.59468,0.67724,0.50324,0.90293,0.76706,0.88457,0.00551584,0.00551584,0.00551584
49,3857,0.8849,0.69155,0.86866,0.7713,0.57747,0.67771,0.50923,0.88574,0.75861,0.88166,0.00536081,0.00536081,0.00536081
50,3935.04,0.8758,0.68289,0.86623,0.75724,0.58604,0.6828,0.51425,0.88338,0.75816,0.87951,0.00520548,0.00520548,0.00520548
51,4013.12,0.8745,0.67818,0.86587,0.71143,0.605,0.68049,0.51186,0.87205,0.77935,0.87488,0.00505,0.00505,0.00505
52,4091.38,0.86407,0.66874,0.86627,0.68083,0.61697,0.68063,0.51235,0.87292,0.76446,0.87773,0.00489452,0.00489452,0.00489452
53,4168.94,0.86137,0.65727,0.86445,0.73238,0.58824,0.67996,0.51302,0.87489,0.76868,0.87798,0.00473919,0.00473919,0.00473919
54,4246.7,0.85666,0.65949,0.86148,0.70216,0.60425,0.67958,0.51103,0.87954,0.76124,0.88002,0.00458416,0.00458416,0.00458416
55,4324.85,0.8504,0.64802,0.86405,0.76052,0.57995,0.68307,0.51531,0.87257,0.7622,0.87831,0.0044296,0.0044296,0.0044296
56,4402.75,0.84451,0.64527,0.86378,0.73091,0.6014,0.68463,0.51481,0.87566,0.77073,0.88086,0.00427565,0.00427565,0.00427565
57,4480.46,0.84293,0.64238,0.86115,0.70863,0.61699,0.68908,0.51745,0.87279,0.76514,0.87904,0.00412246,0.00412246,0.00412246
58,4558.21,0.83341,0.63094,0.8547,0.71492,0.60952,0.68769,0.51626,0.87142,0.76671,0.879,0.00397019,0.00397019,0.00397019
