epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.451,1.26419,2.98573,1.25663,0.59389,0.46436,0.49801,0.3392,1.20109,1.46858,1.28347,0.00333068,0.00333068,0.0700239
2,313.038,1.2011,1.52508,1.19665,0.73381,0.5091,0.61445,0.40468,1.33238,1.31266,1.35109,0.00666329,0.00666329,0.0400232
3,459.265,1.23811,1.47091,1.23378,0.64892,0.56266,0.62531,0.4303,1.20575,1.30676,1.34469,0.009993,0.009993,0.0100196
4,605.165,1.25078,1.43763,1.26728,0.73148,0.6137,0.69153,0.47594,1.19601,1.15364,1.34684,0.00999023,0.00999023,0.00999023
5,751.218,1.20339,1.27095,1.24366,0.76349,0.69322,0.75493,0.52577,1.17976,1.00887,1.32047,0.00998264,0.00998264,0.00998264
6,896.989,1.16138,1.17117,1.22461,0.79835,0.70715,0.77561,0.53407,1.18414,0.93436,1.33439,0.00997288,0.00997288,0.00997288
7,1043.14,1.13276,1.09933,1.2113,0.77613,0.74702,0.82015,0.56891,1.11985,0.86244,1.29769,0.00996097,0.00996097,0.00996097
8,1187.07,1.1041,1.03369,1.195,0.79168,0.75712,0.82516,0.57774,1.1354,0.84932,1.32045,0.0099469,0.0099469,0.0099469
9,1325.55,1.10219,1.01082,1.19535,0.81382,0.75097,0.81943,0.59104,1.07249,0.81423,1.26663,0.00993068,0.00993068,0.00993068
10,1463.62,1.07827,0.97883,1.18309,0.80041,0.75824,0.82548,0.59321,1.04215,0.79533,1.25309,0.00991232,0.00991232,0.00991232
11,1601.62,1.0641,0.95224,1.17515,0.8357,0.75943,0.85125,0.62645,1.00684,0.74479,1.21487,0.00989183,0.00989183,0.00989183
12,1739.87,1.04738,0.92295,1.16102,0.85909,0.75539,0.84962,0.62499,1.02052,0.72401,1.23016,0.00986922,0.00986922,0.00986922
