epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.29,1.44402,3.56148,1.2618,0.61594,0.22062,0.22572,0.14578,1.40856,2.37627,1.36755,0.0166534,0.0166534,0.0833466
2,216.165,1.48014,2.3786,1.35637,0.45005,0.35356,0.35223,0.22054,1.40235,1.98001,1.43277,0.0333164,0.0333164,0.0666763
3,313.757,1.45429,2.06695,1.39274,0.57151,0.42129,0.44941,0.29511,1.34339,1.7407,1.45683,0.049965,0.049965,0.0499916
4,409.871,1.39229,1.83211,1.38771,0.59536,0.53924,0.57067,0.37761,1.31968,1.38092,1.45042,0.0499512,0.0499512,0.0499512
5,506.411,1.33177,1.60153,1.34985,0.6543,0.52865,0.6171,0.42324,1.23867,1.28951,1.41731,0.0499132,0.0499132,0.0499132
6,602.776,1.28652,1.49589,1.32582,0.71404,0.5644,0.66141,0.44204,1.25688,1.20558,1.41603,0.0498644,0.0498644,0.0498644
7,698.777,1.26477,1.42728,1.31297,0.67888,0.61979,0.70792,0.47264,1.2425,1.12149,1.409,0.0498048,0.0498048,0.0498048
8,794.588,1.23044,1.3606,1.2895,0.70206,0.64342,0.70861,0.47946,1.23395,1.07078,1.42016,0.0497345,0.0497345,0.0497345
9,890.739,1.2386,1.33483,1.29483,0.78325,0.64303,0.74354,0.51152,1.19012,1.00238,1.37842,0.0496534,0.0496534,0.0496534
10,987.304,1.22019,1.30549,1.29301,0.75795,0.67646,0.75246,0.52432,1.15019,0.98251,1.34332,0.0495616,0.0495616,0.0495616
11,1084.19,1.21061,1.27971,1.28438,0.73769,0.70172,0.76986,0.53985,1.14556,0.94418,1.34749,0.0494592,0.0494592,0.0494592
12,1179.67,1.20458,1.25683,1.27771,0.76333,0.70582,0.77552,0.53852,1.157,0.92593,1.33569,0.0493461,0.0493461,0.0493461
13,1275.81,1.19992,1.24223,1.2736,0.78933,0.68643,0.78153,0.54773,1.13847,0.9137,1.34355,0.0492224,0.0492224,0.0492224
14,1372.69,1.20252,1.24198,1.2722,0.75106,0.72773,0.78406,0.54918,1.13151,0.88788,1.32536,0.0490883,0.0490883,0.0490883
15,1469.42,1.18928,1.21911,1.26326,0.76632,0.73188,0.79447,0.56016,1.12178,0.87699,1.30831,0.0489437,0.0489437,0.0489437
16,1566.41,1.18073,1.20358,1.26171,0.7686,0.73945,0.80564,0.56325,1.1379,0.8585,1.32627,0.0487886,0.0487886,0.0487886
17,1663.81,1.18725,1.20663,1.25872,0.79606,0.71428,0.80877,0.57175,1.10408,0.84301,1.29563,0.0486233,0.0486233,0.0486233
18,1760.67,1.17775,1.184,1.26179,0.83011,0.72164,0.81862,0.57756,1.10892,0.82,1.30259,0.0484477,0.0484477,0.0484477
19,1857.71,1.1785,1.18248,1.25926,0.82524,0.74195,0.8305,0.58867,1.10898,0.79673,1.2988,0.048262,0.048262,0.048262
20,1955.23,1.17507,1.17348,1.25927,0.82995,0.76323,0.83063,0.58469,1.11109,0.79456,1.31155,0.0480661,0.0480661,0.0480661
21,2052.98,1.18191,1.19304,1.26474,0.79533,0.75952,0.82901,0.58969,1.10592,0.78241,1.30485,0.0478603,0.0478603,0.0478603
22,2149.62,1.16433,1.15777,1.24847,0.8404,0.75378,0.83867,0.58866,1.11235,0.79143,1.2979,0.0476445,0.0476445,0.0476445
23,2249.06,1.16528,1.15399,1.25342,0.8341,0.76124,0.84621,0.6035,1.09852,0.75986,1.29205,0.0474189,0.0474189,0.0474189
24,2347.96,1.16761,1.14335,1.25346,0.84269,0.76649,0.84762,0.60688,1.07572,0.75443,1.27987,0.0471835,0.0471835,0.0471835
25,2447.74,1.16532,1.14276,1.25268,0.82201,0.78468,0.84978,0.60072,1.09684,0.75475,1.29582,0.0469386,0.0469386,0.0469386
26,2546.79,1.16558,1.13916,1.24703,0.8379,0.77505,0.84823,0.60709,1.0801,0.7417,1.27477,0.0466841,0.0466841,0.0466841
27,2646.08,1.16242,1.13484,1.2494,0.862,0.77201,0.84981,0.60924,1.07301,0.74101,1.28474,0.0464203,0.0464203,0.0464203
28,2744.18,1.15805,1.13386,1.24593,0.85209,0.76867,0.85533,0.61781,1.06851,0.72806,1.26642,0.0461471,0.0461471,0.0461471
29,2837.85,1.16014,1.12622,1.24826,0.8292,0.78248,0.85097,0.61502,1.08496,0.7315,1.27944,0.0458648,0.0458648,0.0458648
30,2932.34,1.15113,1.1176,1.2451,0.8577,0.77012,0.85287,0.62052,1.05178,0.72389,1.25581,0.0455734,0.0455734,0.0455734
31,3026.15,1.15117,1.11597,1.24077,0.83599,0.78749,0.85846,0.62209,1.06683,0.71934,1.26754,0.0452732,0.0452732,0.0452732
